Card name,Official URL ,Card Issuer,Status,,,,,,,,,,,,,,,,,,,,,,
,,issuer (enum),status,"network (enum: Visa, Mastercard, Rupay, Amex etc)",is_lifetime_free (bool),annual_fee (numeric),"fee_waiver_spend_threshold (numeric, optional)",is_upi_enabled (bool),is_cashback_primary (bool),is_rewards_points_primary (bool),has_dining_benefit (bool),has_travel_benefit (bool),has_fuel_benefit (bool),has_online_shopping_benefit (bool),has_entertainment_benefit (bool),has_groceries_benefit (bool),has_domestic_lounge (bool),has_international_lounge (bool),"co_brand_name (text, for display)","co_brand_type (enum: ecommerce, airline, hotel, food delivery etc)",cashback_generic_rate,cashback_top_category_rate,rewards_generic_multiplier,rewards_top_category_multiplier,(Available/Discontinued/Questionable) 
Samsung Axis Bank Signature Credit Card,https://www.axis.bank.in/cards/credit-card/samsung-axis-bank-signature-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Miles and More Axis Bank Credit Card,https://www.axis.bank.in/cards/credit-card/miles-more-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Axis Bank Freecharge Credit Card,https://www.axis.bank.in/cards/credit-card/axis-bank-freecharge-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Axis Bank Freecharge Plus Credit Card,https://www.axis.bank.in/cards/credit-card/axis-bank-freecharge-plus-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
LIC Axis Bank Signature Credit Card,https://www.axis.bank.in/cards/credit-card/lic-axis-bank-signature-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
LIC Axis Bank Platinum Credit Card,https://www.axis.bank.in/cards/credit-card/lic-axis-bank-platinum-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
AXIS BANK VISTARA SIGNATURE Credit Card,https://www.axis.bank.in/cards/credit-card/axis-bank-vistara-signature-credit-card,Axis Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
AXIS BANK VISTARA Credit Card,https://www.axis.bank.in/cards/credit-card/axis-bank-vistara-credit-card,Axis Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Kwik Axis Bank Credit Card,https://www.axis.bank.in/cards/credit-card/axis-bank-kwik-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Axis Bank Vistara Infinite Credit Card,https://www.axis.bank.in/cards/credit-card/axis-bank-vistara-infinite-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Purchase Control (Virtual Card),https://www.axis.bank.in/cards/commercial-credit-card/purchase-control-virtual-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Purchase Card,https://www.axis.bank.in/cards/commercial-credit-card/purchase-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Corporate Credit Card with Corporate Liability,https://www.axis.bank.in/cards/commercial-credit-card/corporate-credit-card-with-corporate-liability,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Axis Bank Business Supreme Visa,https://www.axis.bank.in/cards/commercial-credit-card/business-supreme-visa-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Axis Bank Business Supreme Master card,https://www.axis.bank.in/cards/commercial-credit-card/business-supreme-master-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
